Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-05-18 00:00:00,Wrigley Field,MIL @ CHC,7:40,+41%,-7%,-2%,+15%,+0.92,-0.24,-0.17,+1.30,-2%,-11%,-3%,-7%,-0.04,-0.38,-0.34,-0.60,+43%,+4%,+2%,+22%,+0.96,+0.13,+0.18,+1.90
2026-05-18 00:00:00,Kauffman Stadium,BOS @ KC,7:40,+35%,+2%,-1%,+13%,+0.79,+0.06,-0.14,+1.10,+11%,+2%,-1%,+4%,+0.26,+0.08,-0.08,+0.32,+24%,-1%,-1%,+9%,+0.54,-0.02,-0.06,+0.78
2026-05-18 00:00:00,Coors Field,TEX @ COL,8:40,-9%,+18%,+13%,+12%,-0.20,+0.62,+1.38,+1.07,+20%,+30%,+16%,+32%,+0.44,+1.05,+1.65,+2.80,-29%,-12%,-3%,-20%,-0.64,-0.43,-0.27,-1.73
2026-05-18 00:00:00,Citizens Bank Park,CIN @ PHI,6:40,+29%,-6%,-3%,+9%,+0.65,-0.19,-0.33,+0.76,+14%,-3%,-2%,+5%,+0.32,-0.11,-0.19,+0.40,+15%,-3%,-1%,+4%,+0.33,-0.09,-0.13,+0.36
2026-05-18 00:00:00,Nationals Park,NYM @ WAS,6:45,+5%,+6%,+7%,+8%,+0.11,+0.20,+0.77,+0.70,+3%,+5%,+4%,+4%,+0.06,+0.16,+0.39,+0.34,+2%,+1%,+4%,+4%,+0.05,+0.03,+0.38,+0.36
2026-05-18 00:00:00,Chase Field,SF  @ ARI,9:40,-5%,+21%,+3%,+8%,-0.11,+0.74,+0.30,+0.69,-7%,+12%,+0%,+1%,-0.16,+0.44,+0.04,+0.13,+3%,+9%,+2%,+6%,+0.06,+0.30,+0.26,+0.56
2026-05-18 00:00:00,Angel Stadium,ATH @ LAA,9:38,+8%,-5%,+3%,+3%,+0.18,-0.19,+0.33,+0.28,+10%,-5%,+1%,+3%,+0.22,-0.17,+0.14,+0.25,-2%,0%,+2%,+0%,-0.05,-0.01,+0.20,+0.03
2026-05-18 00:00:00,Target Field,HOU @ MIN,7:40,-6%,-2%,-1%,-3%,-0.13,-0.07,-0.07,-0.26,-6%,+1%,+1%,+0%,-0.13,+0.05,+0.15,+0.02,0%,-3%,-2%,-3%,0.00,-0.12,-0.22,-0.28
2026-05-18 00:00:00,Yankee Stadium,TOR @ NYY,7:05,+8%,-13%,-7%,-4%,+0.19,-0.45,-0.77,-0.39,+5%,-11%,-5%,-3%,+0.12,-0.40,-0.51,-0.30,+3%,-1%,-2%,-1%,+0.07,-0.05,-0.26,-0.09
2026-05-18 00:00:00,Comerica Park,CLE @ DET,6:40,-7%,-1%,+1%,-5%,-0.15,-0.04,+0.13,-0.41,-9%,+0%,+6%,-1%,-0.20,+0.00,+0.61,-0.12,+2%,-1%,-5%,-3%,+0.04,-0.05,-0.48,-0.28
2026-05-18 00:00:00,LoanDepot Park,ATL @ MIA,6:40,-13%,+2%,-2%,-5%,-0.29,+0.07,-0.18,-0.42,-13%,+2%,-1%,-4%,-0.29,+0.05,-0.08,-0.39,0%,+1%,-1%,0%,0.00,+0.02,-0.10,-0.03
2026-05-18 00:00:00,Tropicana Field,BAL @ TB,6:40,-3%,-7%,-8%,-6%,-0.07,-0.23,-0.81,-0.51,-3%,-6%,-7%,-6%,-0.07,-0.22,-0.80,-0.50,+0%,0%,0%,0%,+0.01,-0.01,-0.01,-0.01
2026-05-18 00:00:00,Petco Park,LAD @ SD,9:40,-6%,-20%,-3%,-10%,-0.14,-0.70,-0.27,-0.87,-4%,-12%,-5%,-8%,-0.10,-0.42,-0.49,-0.66,-2%,-8%,+2%,-2%,-0.04,-0.28,+0.22,-0.21
2026-05-18 00:00:00,T-Mobile Park,CHW @ SEA,9:40,-14%,-19%,-8%,-17%,-0.31,-0.67,-0.90,-1.52,+1%,-15%,-6%,-8%,+0.02,-0.54,-0.65,-0.72,-15%,-4%,-2%,-9%,-0.33,-0.14,-0.25,-0.80
